Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.cornell-box-solid.width = 50.random-antialias,103334525001,7578257996,1042141973,252724,230686720
All.cornell-box-solid.width = 100.random-antialias,350883600000,24546659828,4138708366,298248,253755392
All.cornell-box-solid.width = 200.random-antialias,1393831200024,103160548870,16673788536,797233,306184192
All.cornell-box-solid.width = 400.random-antialias,5396251999974,77511060600,66982857493,2964730,583008256
All.cornell-box-smoke.width = 50.random-antialias,83468925001,6075508518,1044031922,174736,583008256
All.cornell-box-smoke.width = 100.random-antialias,332239399987,28841699314,4149361397,323069,583008256
All.cornell-box-smoke.width = 200.random-antialias,1368125199948,66449679472,16678255883,827232,583008256
All.cornell-box-smoke.width = 400.random-antialias,13510932000024,17370451341804,67303141291,2847478,584056832
