Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.cornell-box-solid.width = 50.random-antialias,63775924995,4284977036,841045169,237040,231735296
All.cornell-box-solid.width = 100.random-antialias,263357799987,19664429036,3403945852,236135,252706816
All.cornell-box-solid.width = 200.random-antialias,1064832000024,41890497432,13543880475,577213,307232768
All.cornell-box-solid.width = 400.random-antialias,4228662599987,343581683326,54775986875,1990422,584056832
All.cornell-box-smoke.width = 50.random-antialias,63957087502,3020871938,853545323,158440,584056832
All.cornell-box-smoke.width = 100.random-antialias,260859899993,16954761888,3390560139,245510,584056832
All.cornell-box-smoke.width = 200.random-antialias,1103589000012,49477476108,13697768592,566042,584056832
All.cornell-box-smoke.width = 400.random-antialias,4406233999974,437978634810,55062629469,2006278,584056832
